timestamp,transaction_count,total_value_transferred_eth,unique_active_wallets,avg_gas_price_gwei,total_gas_used
2025-03-20 01:00:00,48989,25557.4884,23648,1.992,5425046682
2025-03-20 02:00:00,48771,21320.3333,23358,1.9639,5411098733
2025-03-20 03:00:00,42498,159167.9049,20050,1.9675,5485131862
2025-03-20 04:00:00,40417,35195.1248,19285,1.7375,5433227047
2025-03-20 05:00:00,40085,64417.7453,18575,1.7973,5472204678
2025-03-20 06:00:00,40906,70778.5006,18354,1.9682,5507281137
2025-03-20 07:00:00,43704,63711.5613,19483,1.7181,5454649870
2025-03-20 08:00:00,48914,204896.6133,21775,2.0381,5452401183
2025-03-20 09:00:00,50454,76820.2645,22559,2.1155,5431965323
2025-03-20 10:00:00,51998,88340.3649,22796,2.2355,5475309762
2025-03-20 11:00:00,49117,44926.2375,22089,1.7732,5478269505
2025-03-20 12:00:00,51745,68355.5693,23141,1.9833,5493161526
2025-03-20 13:00:00,55081,60177.422,23928,2.4916,5436742381
2025-03-20 14:00:00,59789,102788.9178,25856,2.8486,5535277492
2025-03-20 15:00:00,61216,90390.5347,27332,3.1464,5503445824
2025-03-20 16:00:00,58522,115834.9275,25348,3.2221,5413926477
2025-03-20 17:00:00,59798,156513.0317,27270,3.0687,5347965276
2025-03-20 18:00:00,55046,44571.8409,25474,2.1026,5355720962
2025-03-20 19:00:00,58073,147323.1037,28349,1.9255,5407095587
2025-03-20 20:00:00,52852,37911.8008,25276,2.0307,5427006102
2025-03-20 21:00:00,48154,27286.8687,21666,2.0136,5433909413
2025-03-20 22:00:00,47993,24707.2518,21218,1.7625,5469078381
2025-03-20 23:00:00,46562,23549.6021,19554,2.1596,5410201585
2025-03-21 00:00:00,43265,34547.7282,18020,1.9626,5467677448
2025-03-21 01:00:00,40537,25651.1728,18029,1.7711,5409529338
2025-03-21 02:00:00,38905,28940.3575,17741,1.6563,5420794981
2025-03-21 03:00:00,39017,36983.5987,17997,1.6107,5484274021
2025-03-21 04:00:00,34937,29364.2588,15034,1.7035,5549540315
2025-03-21 05:00:00,35013,23853.5289,15266,1.7821,5486715707
