timestamp,transaction_count,total_value_transferred_btc,avg_fee_btc,total_size_used_mb
2024-03-15 11:00:00,18410,35427.1727,0.00010847,17.008
2024-03-15 12:00:00,13443,41098.7897,9.004e-05,10.6478
2024-03-15 13:00:00,10349,62180.5123,0.0001138,6.7714
2024-03-15 14:00:00,8352,68724.7763,0.00018334,4.579
2024-03-15 15:00:00,28615,70020.4999,0.00011107,16.7247
2024-03-15 16:00:00,17309,46690.9472,0.00011324,9.7208
2024-03-15 17:00:00,2422,4054.14,9.529e-05,1.7833
2024-03-15 18:00:00,11854,55830.1798,0.00015498,6.1562
2024-03-15 19:00:00,18559,77730.9435,0.00014209,9.3684
2024-03-15 20:00:00,9252,41943.2147,0.00016438,4.6708
2024-03-15 21:00:00,18649,33461.7926,0.00012109,11.5186
2024-03-15 22:00:00,5320,19751.121,0.00014059,3.3651
2024-03-15 23:00:00,18326,93840.9667,0.00012184,11.6613
2024-03-16 00:00:00,8099,43919.3723,0.00010823,4.7935
2024-03-16 01:00:00,16951,30615.0292,9.327e-05,11.3388
2024-03-16 02:00:00,11140,23232.4766,0.0001119,9.5638
2024-03-16 03:00:00,15042,32574.1142,9.97e-05,14.5829
2024-03-16 04:00:00,12957,30391.0447,8.413e-05,8.8786
2024-03-16 05:00:00,12632,5682.4881,0.00010591,6.6471
2024-03-16 06:00:00,8515,10043.3303,0.00026731,3.32
2024-03-16 07:00:00,14801,20329.6463,0.00023369,6.4778
2024-03-16 08:00:00,29186,55595.8949,0.00011254,11.9051
2024-03-16 09:00:00,22026,24435.0157,9.006e-05,14.0725
2024-03-16 10:00:00,16810,26386.3474,0.00010027,12.1622
2024-03-16 11:00:00,9053,13078.7406,0.00010642,4.9981
2024-03-16 12:00:00,10103,20165.8003,0.00010236,6.5392
2024-03-16 13:00:00,10120,29716.531,0.00011034,4.8278
2024-03-16 14:00:00,22987,43872.721,0.00011387,17.2029
2024-03-16 15:00:00,23587,24502.4639,8.498e-05,16.6917
2024-03-16 16:00:00,10862,16860.8408,0.00011937,9.4815
2024-03-16 17:00:00,20749,27969.471,9.11e-05,16.5292
2024-03-16 18:00:00,13275,37349.7883,9.668e-05,10.0439
2024-03-16 19:00:00,16318,29993.3444,9.891e-05,14.3794
2024-03-16 20:00:00,16370,21369.2095,9.108e-05,18.2832
2024-03-16 21:00:00,14773,25347.4212,7.455e-05,13.3839
2024-03-16 22:00:00,15871,28077.6714,7.034e-05,12.0668
2024-03-16 23:00:00,3389,10579.3201,0.00010543,1.4708
2024-03-17 00:00:00,21696,51123.8589,6.861e-05,18.1279
2024-03-17 01:00:00,12718,12714.5309,6.197e-05,10.8309
2024-03-17 02:00:00,19891,26439.1517,5.845e-05,14.7704
2024-03-17 03:00:00,8786,29426.8287,7.879e-05,4.7854
2024-03-17 04:00:00,4878,32021.2101,0.00011184,2.9721
2024-03-17 05:00:00,13532,14726.904,6.645e-05,8.521
2024-03-17 06:00:00,22492,45314.063,5.427e-05,15.7516
2024-03-17 07:00:00,12101,22861.5955,9.273e-05,16.0333
2024-03-17 08:00:00,10868,31478.0173,8.499e-05,6.4088
2024-03-17 09:00:00,11167,18515.5578,6.782e-05,6.7562
2024-03-17 10:00:00,9150,27178.1235,8.785e-05,4.696
2024-03-17 11:00:00,17782,32502.2074,6.852e-05,13.2656
2024-03-17 12:00:00,8904,19653.27,6.652e-05,4.8251
2024-03-17 13:00:00,19933,27003.5506,6.902e-05,11.4469
2024-03-17 14:00:00,20339,30337.6726,6.855e-05,18.592
2024-03-17 15:00:00,10664,10297.7939,7.457e-05,8.9745
2024-03-17 16:00:00,22166,31463.2962,7.465e-05,19.1713
2024-03-17 17:00:00,16278,29178.6635,7.058e-05,10.2021
2024-03-17 18:00:00,3452,8551.4874,0.00010599,1.4727
2024-03-17 19:00:00,10517,62750.6188,8.849e-05,4.8727
2024-03-17 20:00:00,23980,42409.3008,8.106e-05,13.4454
2024-03-17 21:00:00,19895,20703.126,6.23e-05,11.9863
2024-03-17 22:00:00,18173,25208.8165,6.24e-05,10.3076
2024-03-17 23:00:00,26601,32559.5482,4.99e-05,18.9089
