timestamp,close_price,volume_base,volume_quote,transaction_count,successful_transaction_count,total_fee_sol,avg_fee_sol,market_cap
2025-02-13 06:00:00,193.814,292683.5697,57028931.62,16807334,14942478,605.2778,3.601e-05,95444985378.07
2025-02-13 07:00:00,193.4268,260505.5982,50499196.86,16546007,14752539,442.3746,2.674e-05,94506648101.5
2025-02-13 08:00:00,192.6861,317020.7549,61223242.44,16687486,14858333,362.4458,2.172e-05,94310561059.87
2025-02-13 09:00:00,193.6582,216520.6405,41891906.48,16436418,14743256,348.8118,2.122e-05,93882977913.18
2025-02-13 10:00:00,192.9513,214267.152,41398255.99,16274606,14743727,318.6817,1.958e-05,94339724116.63
2025-02-13 11:00:00,192.1973,325023.8015,62492511.27,16289392,14803798,339.9068,2.087e-05,94008819049.64
2025-02-13 12:00:00,191.4618,281484.3599,54040999.21,16374999,14739449,345.0026,2.107e-05,93571355265.21
2025-02-13 13:00:00,191.3425,621429.9138,118979482.04,16979866,15060232,661.6585,3.897e-05,93466285551.32
2025-02-13 14:00:00,191.2376,767312.8059,146101320.66,16976375,15110560,988.5849,5.823e-05,93363305065.95
2025-02-13 15:00:00,192.3363,516611.5322,99168017.42,17092481,15178737,653.1555,3.821e-05,93230862434.13
2025-02-13 16:00:00,191.0784,465188.3828,88823505.58,17530200,15732576,1947.1577,0.00011107,94066326130.14
2025-02-13 17:00:00,192.0724,293666.324,56354884.09,17881143,15676537,976.5625,5.461e-05,93073659185.74
2025-02-13 18:00:00,193.7174,258735.6825,49767931.85,17217534,14998387,796.8481,4.628e-05,93610977923.19
2025-02-13 19:00:00,193.0995,368942.224,71375957.49,16962995,15188182,751.1032,4.428e-05,94176147129.32
2025-02-13 20:00:00,194.9043,334207.4558,65011505.79,16874784,15077666,703.3231,4.168e-05,94214190532.84
2025-02-13 21:00:00,195.388,260758.8047,50908052.87,17117753,15227515,762.8239,4.456e-05,94912606543.69
2025-02-13 22:00:00,194.3541,229903.5285,44890030.59,16788284,14942660,891.1554,5.308e-05,95160598458.91
2025-02-13 23:00:00,194.6813,234274.2807,45587645.28,16783912,14891818,881.178,5.25e-05,94883897112.36
2025-02-14 00:00:00,196.3173,293262.6847,57323414.58,16872103,14927523,734.1225,4.351e-05,94930957445.69
2025-02-14 01:00:00,196.1965,260050.2325,50943654.68,16639180,14636058,720.0004,4.327e-05,95607098287.64
2025-02-14 02:00:00,196.0792,245663.8119,48318252.57,16814383,14817145,1061.5883,6.314e-05,95625180468.86
2025-02-14 03:00:00,197.3619,213719.6957,42070153.26,16719652,14849984,680.5817,4.071e-05,95609508726.55
2025-02-14 04:00:00,195.7662,194810.8884,38311010.15,16701173,14793449,592.5559,3.548e-05,96234250963.94
2025-02-14 05:00:00,195.7997,184161.0017,36036060.25,16503723,14475600,782.228,4.74e-05,95405457996.7
2025-02-14 06:00:00,196.5298,208480.3149,40905755.31,16316774,14312495,551.6548,3.381e-05,95229555060.29
2025-02-14 07:00:00,196.9578,194911.9496,38411620.82,16168548,14361020,390.3199,2.414e-05,95793970612.29
2025-02-14 08:00:00,197.8787,320817.1573,63530967.39,16280187,14579298,379.2504,2.33e-05,96096940370.24
2025-02-14 09:00:00,200.209,660299.5475,131425386.91,16488578,14666343,416.1003,2.524e-05,96467399748.45
2025-02-14 10:00:00,200.9545,701360.0743,140884808.52,16265507,14572979,354.3432,2.178e-05,97327658886.11
2025-02-14 11:00:00,199.9315,440043.4466,88345761.7,15916258,14552556,348.6815,2.191e-05,97898030316.23
2025-02-14 12:00:00,197.3922,454594.4417,90163010.83,15590270,14563323,346.9443,2.225e-05,97434344095.87
2025-02-14 13:00:00,198.251,322203.3356,63708594.13,15912371,14708329,413.3129,2.597e-05,96263894100.12
2025-02-14 14:00:00,200.1273,509755.8771,101408805.63,16569851,14926703,496.2992,2.995e-05,96694540156.04
2025-02-14 15:00:00,201.2293,916352.6197,183561574.62,16689663,14882061,726.873,4.355e-05,97449188490.1
2025-02-14 16:00:00,201.9722,557886.0955,111977043.09,17049635,15129004,732.0596,4.294e-05,97907990995.6
2025-02-14 17:00:00,204.9718,1125493.0488,228777045.92,16907083,15015660,741.6136,4.386e-05,98366950633.22
2025-02-14 18:00:00,203.051,616334.4922,126005340.44,16654124,14736340,670.5229,4.026e-05,100282150265.5
2025-02-14 19:00:00,201.9108,368399.6681,74671127.45,16693061,14877147,709.942,4.253e-05,99228306655.29
2025-02-14 20:00:00,201.5203,295859.7714,59749802.63,16675224,14995602,859.762,5.156e-05,98417167047.52
2025-02-14 21:00:00,201.8425,330468.6924,66405030.18,16498307,14609952,828.7893,5.023e-05,98348098909.61
2025-02-14 22:00:00,199.7218,957353.7619,191571359.56,15958639,14697400,3016.8747,0.00018904,98308457970.81
2025-02-14 23:00:00,199.7637,476130.7677,95018897.37,16114590,14744290,2267.8135,0.00014073,96920448121.44
2025-02-15 00:00:00,198.3965,455416.8914,90270734.57,16611386,14831016,1110.9308,6.688e-05,97546899495.61
2025-02-15 01:00:00,199.8152,222364.6062,44317709.38,16486589,14524625,833.966,5.058e-05,96639417335.05
2025-02-15 02:00:00,199.5272,308277.8144,61582827.71,16512830,14560190,541.6718,3.28e-05,97322179223.49
2025-02-15 03:00:00,198.7075,322056.8045,64249316.2,16625759,14749153,666.5742,4.009e-05,97184695873.49
2025-02-15 04:00:00,197.8337,163127.6087,32399264.94,16287566,14508502,420.1463,2.58e-05,96947438614.52
2025-02-15 05:00:00,197.6521,183472.7318,36343492.45,16494105,14761742,426.2851,2.584e-05,96450841099.73
