timestamp,close_price,volume_base,volume_quote,transaction_count,total_value_transferred_doge,avg_fee_doge,total_size_used_bytes
2024-09-16 11:00:00,0.1017693471,64597640.8598,6584306.4,9663,123493892.05,0.083191,3710865
2024-09-16 12:00:00,0.1013516927,121339464.5349,12320429.35,8187,227907376.77,0.109097,3582554
2024-09-16 13:00:00,0.1015318393,176203340.5124,17828466.48,8931,381312384.55,0.095626,3637963
2024-09-16 14:00:00,0.1001073588,252762974.9671,25304430.27,9350,318739366.85,0.122904,3902265
2024-09-16 15:00:00,0.1000205317,118633340.0768,11894565.32,7299,246845378.65,0.131578,3137213
2024-09-16 16:00:00,0.0994813838,146616978.5394,14603450.9,8090,340258315.15,0.114079,3476127
2024-09-16 17:00:00,0.0999505654,172482873.0022,17125035.9,10180,248425377.75,0.103766,4082849
2024-09-16 18:00:00,0.0995167516,60431094.5584,6020556.47,10705,184555459.55,0.099163,3897214
2024-09-16 19:00:00,0.0992795647,61736630.6789,6142776.02,8329,192862846.27,0.138408,3400097
2024-09-16 20:00:00,0.0986512333,89330330.8959,8849883.37,7850,131746209.04,0.137784,3258118
2024-09-16 21:00:00,0.0995116046,59063487.513,5850746.16,8294,466113901.44,0.16439,3783425
2024-09-16 22:00:00,0.0993924693,58114856.0423,5784085.35,8034,394548330.74,0.097005,3062215
2024-09-16 23:00:00,0.0997563691,63544347.264,6345400.66,10762,238019589.71,0.083029,3969235
2024-09-17 00:00:00,0.0990224157,84723229.7762,8440949.46,10427,512759983.67,0.072391,3956083
2024-09-17 01:00:00,0.0992467968,56804200.1949,5632518.72,14561,98939380.57,0.051798,5112574
2024-09-17 02:00:00,0.0995332905,49511350.1587,4928426.23,15658,104809242.45,0.052278,5913133
2024-09-17 03:00:00,0.0999367575,32604257.3645,3260229.46,13708,216528341.16,0.085607,5120068
2024-09-17 04:00:00,0.1003682486,64687795.419,6478461.93,7045,530939039.23,0.14134,2819043
2024-09-17 05:00:00,0.1012601941,47311752.3828,4773159.65,9132,136847647.11,0.097175,3324012
2024-09-17 06:00:00,0.1005155798,45369439.4392,4576098.71,7679,494646980.32,0.151778,3064356
2024-09-17 07:00:00,0.1009458034,61737635.1448,6222611.17,9278,259181696.0,0.102105,4586946
2024-09-17 08:00:00,0.1009727546,63187351.5535,6382758.95,9208,159681602.87,0.135081,4306818
2024-09-17 09:00:00,0.1008426811,71140628.0732,7167023.27,13164,122989246.25,0.076777,5769119
2024-09-17 10:00:00,0.1012639402,75428969.5216,7624570.13,14508,148262586.37,0.062994,5891402
2024-09-17 11:00:00,0.100713078,77411642.2109,7818837.08,18934,107583407.44,0.061242,7104074
2024-09-17 12:00:00,0.100892798,114604869.1484,11523326.44,14475,167176507.39,0.068997,6084748
2024-09-17 13:00:00,0.0997632713,112797507.4661,11327212.59,8122,153080328.44,0.113295,3823721
2024-09-17 14:00:00,0.1008242769,320027175.7496,32357358.04,11031,333463388.76,0.116544,5152926
2024-09-17 15:00:00,0.1023096144,315770966.0217,32256801.18,7675,357525206.59,0.15078,3382736
2024-09-17 16:00:00,0.1014841817,157918891.3437,16067579.26,4575,495252156.49,0.226473,2587841
2024-09-17 17:00:00,0.1019096301,97721734.9573,9952304.71,6112,217603830.77,0.149137,2666621
2024-09-17 18:00:00,0.1012894688,92714141.26,9422411.87,7583,153575078.11,0.137221,3356607
2024-09-17 19:00:00,0.1008266604,130944190.8026,13214997.81,4054,263372051.22,0.259254,2202576
2024-09-17 20:00:00,0.1011319114,99358222.6726,10032769.57,6117,240061735.88,0.17736,2957346
2024-09-17 21:00:00,0.1014119051,40154691.6739,4070663.86,5853,183413012.5,0.16289,2546484
2024-09-17 22:00:00,0.1010706306,55230713.9964,5585448.29,5833,371245932.44,0.187701,2685255
2024-09-17 23:00:00,0.1013818466,46648979.4358,4713485.54,7176,228231957.38,0.143544,3302605
2024-09-18 00:00:00,0.1005432701,87383189.8088,8795530.96,7200,532625518.24,0.10484,4403935
2024-09-18 01:00:00,0.1004593826,57659303.3421,5799163.92,7017,467030700.42,0.125317,5898966
2024-09-18 02:00:00,0.1010757767,72532029.5068,7312374.97,11558,373027293.11,0.076654,6713886
2024-09-18 03:00:00,0.1012231094,79062512.6342,8023033.15,9071,230224557.89,0.11874,6304459
2024-09-18 04:00:00,0.1007307269,50985727.1012,5155108.96,6977,463820982.39,0.138428,5636297
2024-09-18 05:00:00,0.1009153343,46288780.68,4667646.94,9048,88647629.76,0.089463,6828460
2024-09-18 06:00:00,0.1011189195,43585266.6893,4405610.51,9955,441054033.79,0.096291,6611892
2024-09-18 07:00:00,0.1016617674,63000185.4484,6393782.12,12661,185587903.1,0.081232,6810871
2024-09-18 08:00:00,0.1012207309,57814484.3161,5872723.51,8539,218602594.57,0.114318,5281083
2024-09-18 09:00:00,0.1002120541,83089243.3706,8375250.3,9440,228209104.09,0.106228,5575149
2024-09-18 10:00:00,0.1004882434,109512273.8595,10970304.78,7499,142051987.85,0.121634,4804848
2024-09-18 11:00:00,0.1003182142,51655071.944,5197016.57,6727,195616290.86,0.125431,3872196
2024-09-18 12:00:00,0.1010053315,61889795.7142,6222256.63,7288,264473951.34,0.124946,3194769
2024-09-18 13:00:00,0.1003715807,104957908.8939,10561758.4,6508,163934250.45,0.134126,2620926
2024-09-18 14:00:00,0.1005264016,88964181.7777,8940801.82,7930,186988953.84,0.128432,3051628
2024-09-18 15:00:00,0.100128682,98835941.0106,9923198.36,2341,311347366.8,0.476416,1387176
2024-09-18 16:00:00,0.1006330185,95628896.9988,9592045.72,1744,477092613.19,0.605753,1135660
2024-09-18 17:00:00,0.1014181651,120236914.3123,12147526.48,2009,146082195.35,0.48548,1529233
2024-09-18 18:00:00,0.1018281283,501877998.9625,51359858.08,2240,615117874.17,0.558546,1481859
2024-09-18 19:00:00,0.1010797479,214014675.6301,21675997.73,2192,159990201.59,0.5664,1701376
2024-09-18 20:00:00,0.1014195049,125349986.0443,12615800.43,2054,150088392.86,0.478618,1688237
2024-09-18 21:00:00,0.1020274531,66542417.7485,6790579.87,1780,125643005.52,0.522931,1296454
