timestamp,transaction_count,total_value_transferred_doge,avg_fee_doge,total_size_used_bytes
2024-01-11 16:00:00,10161,1070726600.93,0.23483,4499321
2024-01-11 17:00:00,7846,591700123.9,0.204527,3000514
2024-01-11 18:00:00,9828,1255341434.7,0.32954,5462123
2024-01-11 19:00:00,3340,602044517.56,0.427352,1577821
2024-01-11 20:00:00,2981,984823836.21,0.485672,1294118
2024-01-11 21:00:00,8764,578353431.03,0.382452,7606755
2024-01-11 22:00:00,6184,535634076.5,0.202429,2452542
2024-01-11 23:00:00,7030,527971260.25,0.229965,2711315
2024-01-12 00:00:00,10686,679255411.83,0.166266,4067978
2024-01-12 01:00:00,4746,362115008.34,0.329864,2104586
2024-01-12 02:00:00,7757,349816422.07,0.236815,3385178
2024-01-12 03:00:00,2797,763271982.13,0.669929,2298039
2024-01-12 04:00:00,2925,645469138.32,0.437316,2133363
2024-01-12 05:00:00,3065,240583780.44,0.460249,1880737
2024-01-12 06:00:00,2826,673550414.33,0.52607,1749648
2024-01-12 07:00:00,3115,479896283.29,0.483803,1962923
2024-01-12 08:00:00,8971,791824839.31,0.165422,4115228
2024-01-12 09:00:00,19781,336374515.91,0.267837,11721819
2024-01-12 10:00:00,22691,627678896.64,0.462246,28799396
2024-01-12 11:00:00,15359,799429877.81,0.479847,20217372
2024-01-12 12:00:00,15377,571141525.45,0.14838,7953640
2024-01-12 13:00:00,7934,1241048460.44,0.283064,3900369
2024-01-12 14:00:00,10310,694202955.91,0.189347,4510308
2024-01-12 15:00:00,18767,852182340.47,0.33035,15871951
2024-01-12 16:00:00,19443,634153607.71,0.48017,23959246
2024-01-12 17:00:00,19178,853707662.58,0.485353,25322729
2024-01-12 18:00:00,30145,731501646.19,0.217059,23125948
2024-01-12 19:00:00,5665,519735213.54,0.303686,2246218
2024-01-12 20:00:00,12183,599897288.46,0.110038,4505954
2024-01-12 21:00:00,14058,571612333.4,0.096229,5130458
2024-01-12 22:00:00,6822,666465665.76,0.196886,2710282
2024-01-12 23:00:00,4905,413604116.19,0.238188,1933805
2024-01-13 00:00:00,6114,377619137.02,0.218063,2387775
2024-01-13 01:00:00,3232,356874765.72,0.424247,1478479
2024-01-13 02:00:00,2443,332607631.24,0.523396,1327912
2024-01-13 03:00:00,2633,333979427.44,0.537596,1479202
2024-01-13 04:00:00,2585,647961018.5,0.621528,1746683
